--- REGION --- Overall Exp ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2005;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2006;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2007;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2008;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2009;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2010;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2011;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2012;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2013;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2014;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2015;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2016;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2017;9.437426888961971;9.479981351172416;9.38840825363071;9.459507027925941
2018;9.47456028059504;9.506196085738514;9.42362413693795;9.467350997777478
2019;9.47456028059504;9.506196085738514;9.42362413693795;9.467350997777478
2020;9.47456028059504;9.506196085738514;9.42362413693795;9.467350997777478
2021;9.47456028059504;9.506196085738514;9.42362413693795;9.467350997777478
